provider,provider_hotel_id,name,address,city,country,country_code,latitude,longitude,stars
paximum,346850,Castlemead,Castlemead Manorbier Pembrokeshire SA70 7TA,Manorbier,United Kingdom,GB,51.64562,-4.796831,2
expedia,1098103,Fairbridge Inn & Suites Williston Near Airport,1525 9th Avenue NW,Williston,United States,US,48.16005,-103.647006,2.5
paximum,401096,Marquis Plaza & Suites,1525 9th Avenue Northwest Williston ND 58801,Williston,USA,US,48.16032,-103.6458,3
webbeds,2226885,"FairBridge Inn & Suites Williston, ND",1525 9Th Ave Nw,WILLISTON - ND,UNITED STATES OF AMERICA,US,48.159973,-103.647034,3
dida,105147,Fairbridge Inn & Suites Williston Near Airport,1525 9th Avenue NW,Williston,Usa,US,48.16005,-103.647006,2.5
expedia,123380104,Hotel Santa Marta,"Via Montenuovo Licola Patria, 28",Pozzuoli,Italy,IT,40.835398,14.096107,
paximum,366173,Santa Marta,Via Licola Patria 28 80072 Pozzuoli,Pozzuoli,Italy,IT,40.86181,14.06952,3
webbeds,789945,SANTA MARTA,"via Licola Patria , 28 80072 Pozzuoli, Napoli, Italy",NAPLES,ITALY,IT,40.835079,14.096013,3
dida,984079,Hotel Santa Marta,"Via Montenuovo Licola Patria, 28",Naples (and vicinity),Italy,IT,40.835398,14.096107,3
expedia,3129179,Residhome Asnières,"1, rue Eugenie Eboue",Asnieres-sur-Seine,France,FR,48.917708,2.316293,3
tripcom,2935849,Residhome Asnieres,1 Rue Eugénie Eboué,Аньер-сюр-Сен,France,FR,48.917958,2.315896,3
paximum,251312,Residhome Asnières,"1, rue Eugénie Eboué Asnieres 92600",Asnières-sur-Seine,France,FR,48.91783,2.316025,3
webbeds,230006,RESIDHOME ASNIERES,"1 Rue Eugenie Eboue, Asnieres (approx. 8 km away from the centre of Paris)",ASNIERES-SUR-SEINE,Франция,FR,48.917786,2.316,3
dida,10058,Residhome Asnières,"1, rue Eugenie Eboue",Paris (and vicinity),France,FR,48.917708,2.316293,3
expedia,849491,The HHI Kolkata,235/1 Ajc Bose Road,Kolkata,India,IN,22.54129,88.350561,4.5
tripcom,763491,"Hotel Hindusthan International, Kolkata","235/1, Acharya Jagdish Chandra Bose Rd, Sreepally, Bhowanipore",Колката,India,IN,22.541165,88.350632,4
webbeds,12354,The HHI Kolkata,235/1 A J C Bose Road,CALCUTTA / KOLKATA,INDIA,IN,22.54088,88.350487,5
dida,98664,The HHI Kolkata,235/1 Ajc Bose Road,Kolkata (and vicinity),India,IN,22.54129,88.350561,4.5
expedia,1102499,Hotel Mecklenheide Hannover,Schulenburger Landstr. 262,Hannover,Germany,DE,52.420083,9.694137,
paximum,154385,Mecklenheide,Schulenburger Landstr. 262 30419 Hannover,Hannover,Germany,DE,52.41981,9.694828,3
dida,308757,Hotel Mecklenheide Hannover,Schulenburger Landstr. 262,Hannover (and vicinity),Germany,DE,52.420083,9.694137,3
expedia,15730889,Waldorf Astoria Chengdu,"No.1199 Tianfu Avenue North, High-tech Zone",Chengdu,China,CN,30.587193,104.065704,5
tripcom,6869710,Waldorf Astoria Chengdu,"50th Floor, No. 1199 Tianfu Avenue North Section",Чэнду,China,CN,30.590463,104.075485,5
paximum,217609,Waldorf Astoria Chengdu (opening 2016),,Chengdu,China,CN,30.6554,104.064,
webbeds,2123775,Waldorf Astoria Chengdu,"No. 1199 Tianfu Avenue North, Wuhou",CHENGDU,CHINA,CN,30.584419,104.068848,5
dida,235421,Waldorf Astoria Chengdu,"50th Floor, No. 1199 Tianfu Avenue North Section",Chengdu,China,CN,30.584451,104.069004,5
expedia,12255,TIME Coral Resort Nuweiba,Newabaa Street,Nuweiba,Egypt,EG,28.97885,34.6762,4
paximum,310087,Hilton Nuweiba Coral Resort,South Sinai 46625 Nuweiba,Nuweiba,Egypt,EG,28.97776,34.67599,4
webbeds,5250615,TIME Coral Nuweiba Resort,"Port st., P.O Box 46625, Nuweiba city, South Sinai",SOUTH SINAI,EGYPT,EG,28.977764,34.675995,4
dida,1015523,TIME Coral Resort Nuweiba,Newabaa Street,Nuweiba,Egypt,EG,28.97885,34.6762,4
expedia,2688532,Hotel Don Manuel,"Calle Linares Rivas, 4",Gijon,Spain,ES,43.543347,-5.66487,4
paximum,236281,Don Manuel,Calle de Linares Rivas 4 33206 Gijón Asturias,Gijon,Spain,ES,43.54356,-5.664872,4
dida,985437,Hotel Don Manuel,"Calle Linares Rivas, 4",Gijon,Spain,ES,43.543347,-5.66487,4
